['Partitions: [[9  1  1]  [8  1  2]  [8  2  1]  [7  1  3]  [7  3  1]  [6  1  4]  [6  4  1]  [5  1  5]  [5  5  1]  [7  2  2]  [6  2  3]  [6  3  2]  [5  2  4]  [5  4  2]  [5  3  3]  [4  3  4]  [4  4  3]]'],,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Cycle Partition, Mu, # Iso, # Sigmas, C, # Tot Sigmas, C, # All Paritions, C, Percent Connected
[9  1  1],-8,725760,40320,40320,,,,,
[9  1  1],,,,,40320,40320,,,
,,,,,,,,,
[8  1  2], (7 8),20160,40320,40320,,,,,
[8  1  2],,,,,40320,40320,,,
,,,,,,,,,
[8  2  1], (7 8),20160,40320,40320,,,,,
[8  2  1],,,,,40320,40320,,,
,,,,,,,,,
[7  1  3], (6 7 8),4320,20160,20160,,,,,
[7  1  3], (5 6)(7 8),1920,26880,26880,,,,,
[7  1  3],,,,,47040,47040,,,
,,,,,,,,,
[7  3  1], (6 7 8),4320,20160,20160,,,,,
[7  3  1], (5 6)(7 8),1920,26880,26880,,,,,
[7  3  1],,,,,47040,47040,,,
,,,,,,,,,
[6  1  4], (5 6 7 8),960,6720,6720,,,,,
[6  1  4], (4 5)(6 7 8),288,10080,10080,,,,,
[6  1  4], (3 4)(5 6)(7 8),576,13440,13440,,,,,
[6  1  4],,,,,30240,30240,,,
,,,,,,,,,
[6  4  1], (5 6 7 8),960,6720,6720,,,,,
[6  4  1], (4 5)(6 7 8),288,10080,10080,,,,,
[6  4  1], (3 4)(5 6)(7 8),576,13440,13440,,,,,
[6  4  1],,,,,30240,30240,,,
,,,,,,,,,
[5  1  5], (4 5 6 7 8),240,1680,1680,,,,,
[5  1  5], (3 4)(5 6 7 8),96,2688,2688,,,,,
[5  1  5], (3 4 5)(6 7 8),216,3024,3024,,,,,
[5  1  5], (2 3)(4 5)(6 7 8),96,4032,4032,,,,,
[5  1  5], (1 2)(3 4)(5 6)(7 8),768,5376,5376,,,,,
[5  1  5],,,,,16800,16800,,,
,,,,,,,,,
[5  5  1], (4 5 6 7 8),240,1680,1680,,,,,
[5  5  1], (3 4)(5 6 7 8),96,2688,2688,,,,,
[5  5  1], (3 4 5)(6 7 8),216,3024,3024,,,,,
[5  5  1], (2 3)(4 5)(6 7 8),96,4032,4032,,,,,
[5  5  1], (1 2)(3 4)(5 6)(7 8),768,5376,5376,,,,,
[5  5  1],,,,,16800,16800,,,
,,,,,,,,,
[7  2  2], (6 7 8),4320,85032,60480,,,,,
[7  2  2], (5 6)(7 8),1920,79088,67200,,,,,
[7  2  2],,,,,164120,127680,,,
,,,,,,,,,
[6  2  3], (5 6 7 8),960,70040,40320,,,,,
[6  2  3], (4 5)(6 7 8),288,71268,50400,,,,,
[6  2  3], (3 4)(5 6)(7 8),576,72832,59136,,,,,
[6  2  3],,,,,214140,149856,,,
,,,,,,,,,
[6  3  2], (5 6 7 8),960,70040,40320,,,,,
[6  3  2], (4 5)(6 7 8),288,71268,50400,,,,,
[6  3  2], (3 4)(5 6)(7 8),576,72832,59136,,,,,
[6  3  2],,,,,214140,149856,,,
,,,,,,,,,
[5  2  4], (4 5 6 7 8),240,32790,16800,,,,,
[5  2  4], (3 4)(5 6 7 8),96,36208,22848,,,,,
[5  2  4], (3 4 5)(6 7 8),216,35814,24192,,,,,
[5  2  4], (2 3)(4 5)(6 7 8),96,39120,29568,,,,,
[5  2  4], (1 2)(3 4)(5 6)(7 8),768,42016,35712,,,,,
[5  2  4],,,,,185948,129120,,,
,,,,,,,,,
[5  4  2], (4 5 6 7 8),240,32790,16800,,,,,
[5  4  2], (3 4)(5 6 7 8),96,36208,22848,,,,,
[5  4  2], (3 4 5)(6 7 8),216,35814,24192,,,,,
[5  4  2], (2 3)(4 5)(6 7 8),96,39120,29568,,,,,
[5  4  2], (1 2)(3 4)(5 6)(7 8),768,42016,35712,,,,,
[5  4  2],,,,,185948,129120,,,
,,,,,,,,,
[5  3  3], (4 5 6 7 8),240,78248,33600,,,,,
[5  3  3], (3 4)(5 6 7 8),96,76240,43008,,,,,
[5  3  3], (3 4 5)(6 7 8),216,78194,46368,,,,,
[5  3  3], (2 3)(4 5)(6 7 8),96,76526,53760,,,,,
[5  3  3], (1 2)(3 4)(5 6)(7 8),768,77084,62976,,,,,
[5  3  3],,,,,386292,239712,,,
,,,,,,,,,
[4  3  4], (3 4 5 6 7 8),72,44114,16800,,,,,
[4  3  4], (2 3)(4 5 6 7 8),40,43310,22400,,,,,
[4  3  4], (2 3 4)(5 6 7 8),48,43963,24864,,,,,
[4  3  4], (1 2)(3 4)(5 6 7 8),64,43082,29312,,,,,
[4  3  4], (1 2)(3 4 5)(6 7 8),72,43766,31392,,,,,
[4  3  4], (0 1)(2 3)(4 5)(6 7 8),288,43510,37104,,,,,
[4  3  4],,,,,261745,161872,,,
,,,,,,,,,
[4  4  3], (3 4 5 6 7 8),72,44114,16800,,,,,
[4  4  3], (2 3)(4 5 6 7 8),40,43310,22400,,,,,
[4  4  3], (2 3 4)(5 6 7 8),48,43963,24864,,,,,
[4  4  3], (1 2)(3 4)(5 6 7 8),64,43082,29312,,,,,
[4  4  3], (1 2)(3 4 5)(6 7 8),72,43766,31392,,,,,
[4  4  3], (0 1)(2 3)(4 5)(6 7 8),288,43510,37104,,,,,
[4  4  3],,,,,261745,161872,,,
,,,,,,,,,
,,,,,,,2183198,1558208,71.37272936
