Partitions: [[3  1  1]  [2  1  2]  [2  2  1]]


Cycle Partition: [3  1  1]
,mu,isomorphisms, sigma, phi, C
,(2 3 4), 12
,,,(0 1 2 3 4),(0 1 2 4 3),1
,,,(0 1 3 4 2),(0 1 3 2 4),1
,,,(0 1 4 2 3),(0 1 4 3 2),1
,,,(0 2 1 3 4),(0 2 4 1 3),1
,,,(0 2 3 1 4),(0 2 1 4 3),1
,,,(0 2 3 4 1),(0 2 4 3 1),1
,,,(0 3 1 4 2),(0 3 2 1 4),1
,,,(0 3 4 1 2),(0 3 1 2 4),1
,,,(0 3 4 2 1),(0 3 2 4 1),1
,,,(0 4 1 2 3),(0 4 3 1 2),1
,,,(0 4 2 1 3),(0 4 1 3 2),1
,,,(0 4 2 3 1),(0 4 3 2 1),1

,mu,isomorphisms, sigma, phi, C
,(1 2)(3 4), 16
,,,(0 1 3 2 4),(0 1 4 2 3),1
,,,(0 1 4 2 3),(0 1 3 2 4),1
,,,(0 2 3 1 4),(0 2 4 1 3),1
,,,(0 2 4 1 3),(0 2 3 1 4),1
,,,(0 3 1 4 2),(0 3 2 4 1),1
,,,(0 3 2 4 1),(0 3 1 4 2),1
,,,(0 4 1 3 2),(0 4 2 3 1),1
,,,(0 4 2 3 1),(0 4 1 3 2),1

Cycle Partition: [2  1  2]
,mu,isomorphisms, sigma, phi, C
,(1 2 3 4), 8
,,,(0 1 2 3 4),(0 1 3)(2 4),1
,,,(0 1 2 4 3),(0 1 4 2),1
,,,(0 1 3 2 4),(0 1 4 3),1
,,,(0 1 3 4 2),(0 1)(2 4 3),1
,,,(0 1 4 2 3),(4)(0 1 3 2),1
,,,(0 2 1 3 4),(0 2 4 3),1
,,,(0 2 3 1 4),(4)(0 2 1 3),1
,,,(0 2 3 4 1),(0 2 4)(1 3),1
,,,(0 2 4 1 3),(0 2)(1 4 3),1
,,,(0 2 4 3 1),(0 2 1 4),1
,,,(0 3 1 2 4),(0 3)(1 4 2),1
,,,(0 3 1 4 2),(4)(0 3 2 1),1
,,,(0 3 2 4 1),(0 3 1 4),1
,,,(0 3 4 1 2),(0 3 1)(2 4),1
,,,(0 3 4 2 1),(0 3 2 4),1
,,,(0 4 1 2 3),(0 4 2)(1 3),1
,,,(0 4 1 3 2),(0 4 3 1),1
,,,(0 4 2 1 3),(0 4 3 2),1
,,,(0 4 2 3 1),(0 4)(1 3 2),1
,,,(0 4 3 1 2),(0 4 2 1),1

,mu,isomorphisms, sigma, phi, C
,(0 1)(2 3 4), 12
,,,(0 1 2 3 4),(0 2 4 3),1
,,,(0 1 3 4 2),(0 3 2 4),1
,,,(0 1 4 2 3),(0 4 3 2),1
,,,(0 2 1 3 4),(0 3)(1 2 4),1
,,,(0 2 1 4 3),(0 4 1 2),1
,,,(0 2 3 1 4),(0 4 3)(1 2),1
,,,(0 2 3 4 1),(1 2 4 3),1
,,,(0 2 4 1 3),(4)(0 3 1 2),1
,,,(0 3 1 2 4),(4)(0 2 1 3),1
,,,(0 3 1 4 2),(0 4)(1 3 2),1
,,,(0 3 2 1 4),(0 4 1 3),1
,,,(0 3 4 1 2),(0 2 4)(1 3),1
,,,(0 3 4 2 1),(1 3 2 4),1
,,,(0 4 1 2 3),(0 2)(1 4 3),1
,,,(0 4 1 3 2),(0 3 1 4),1
,,,(0 4 2 1 3),(0 3 2)(1 4),1
,,,(0 4 2 3 1),(1 4 3 2),1
,,,(0 4 3 1 2),(0 2 1 4),1

Cycle Partition: [2  2  1]
,mu,isomorphisms, sigma, phi, C
,(1 2 3 4), 8
,,,(4)(0 1 2 3),(0 1 3 4 2),1
,,,(4)(0 2 3 1),(0 2 1 3 4),1
,,,(4)(0 3 1 2),(0 3 4 2 1),1
,,,(0 3)(1 2 4),(0 3 1 4 2),1
,,,(0 1 3)(2 4),(0 1 4 3 2),1
,,,(0 3 1)(2 4),(0 3 2 1 4),1
,,,(0 1)(2 3 4),(0 1 3 2 4),1
,,,(0 2)(1 3 4),(0 2 4 3 1),1
,,,(0 1 2 4),(0 1 4 2 3),1
,,,(0 2 4 1),(0 2 3 1 4),1
,,,(0 4 1 2),(0 4 2 3 1),1
,,,(0 2 4)(1 3),(0 2 1 4 3),1
,,,(0 4 2)(1 3),(0 4 3 2 1),1
,,,(0 4)(1 2 3),(0 4 2 1 3),1
,,,(0 1 3 4),(0 1 2 4 3),1
,,,(0 3 4 1),(0 3 1 2 4),1
,,,(0 4 1 3),(0 4 3 1 2),1
,,,(0 2 3 4),(0 2 4 1 3),1
,,,(0 3 4 2),(0 3 2 4 1),1
,,,(0 4 2 3),(0 4 1 3 2),1

,mu,isomorphisms, sigma, phi, C
,(0 1)(2 3 4), 12
,,,(4)(0 2 1 3),(0 3 4 1 2),1
,,,(4)(0 3 1 2),(0 2 1 3 4),1
,,,(0 2 3)(1 4),(0 4 3 1 2),1
,,,(0 3)(1 4 2),(0 4 1 3 2),1
,,,(1 2 3 4),(0 2 4 3 1),1
,,,(1 3 4 2),(0 3 2 4 1),1
,,,(1 4 2 3),(0 4 3 2 1),1
,,,(0 2)(1 3 4),(0 3 1 2 4),1
,,,(0 2 1 4),(0 4 1 2 3),1
,,,(0 4 1 2),(0 2 3 1 4),1
,,,(0 4 2)(1 3),(0 3 2 1 4),1
,,,(0 4)(1 2 3),(0 2 1 4 3),1
,,,(0 3 1 4),(0 4 2 1 3),1
,,,(0 4 1 3),(0 3 1 4 2),1
,,,(0 3 4)(1 2),(0 2 4 1 3),1
,,,(0 2 3 4),(0 1 2 4 3),1
,,,(0 3 4 2),(0 1 3 2 4),1
,,,(0 4 2 3),(0 1 4 3 2),1

