Partitions: [[3  1  1]  [2  1  2]  [2  2  1]]


Cycle Partition: [3  1  1]
,mu,isomorphisms
,(2 3 4 5 6), 20

,mu,isomorphisms
,(1 2)(3 4 5 6), 16

,mu,isomorphisms
,(1 2 3)(4 5 6), 36

,mu,isomorphisms
,(0 1)(2 3)(4 5 6), 48

Cycle Partition: [2  1  2]
,mu,isomorphisms
,(1 2 3 4 5 6), 12

,mu,isomorphisms
,(0 1)(2 3 4 5 6), 20

,mu,isomorphisms
,(0 1 2)(3 4 5 6), 24

Cycle Partition: [2  2  1]
,mu,isomorphisms
,(1 2 3 4 5 6), 12

,mu,isomorphisms
,(0 1)(2 3 4 5 6), 20

,mu,isomorphisms
,(0 1 2)(3 4 5 6), 24

